Country Name,Country Code,Indicator Name,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,632960876.7,717702601.3,760451194.7,852678170.5,954968399.3,1059710341,1199968768,1304238476,1362103920,1471549940,1538201485,1591248888,1817197911,1859916220,1770097154,1957789027,2245797233,1925280492,2377953053,2263489180,2702680606,2473150592,2347430362,2369823433,2495561937,2623720622,2643760296,2639315168,2747821767,2947640698,3063569556,3134965130,2487355564,3215227617,3556200130,
Africa Eastern and Southern,AFE,"GNI, Atlas method (current US$)",24464399347,26398834538,28267435860,31114924679,33916734020,37177478933,40459439654,44115245898,45245498666,49912282327,54581032348,66199887636,83844734420,98119965495,99951322726,1.01809E+11,1.1214E+11,1.3462E+11,1.68819E+11,1.93196E+11,1.9033E+11,1.801E+11,1.77773E+11,1.65087E+11,1.66004E+11,1.86091E+11,2.17226E+11,2.32351E+11,2.41541E+11,2.59776E+11,2.57166E+11,2.49491E+11,2.40247E+11,2.58098E+11,2.71046E+11,2.79353E+11,2.64447E+11,2.63142E+11,2.66655E+11,2.62235E+11,2.62793E+11,2.91695E+11,3.64413E+11,4.68203E+11,5.41043E+11,6.08674E+11,6.66922E+11,6.93268E+11,7.47053E+11,8.34035E+11,9.13739E+11,9.52834E+11,9.64896E+11,9.23959E+11,8.66394E+11,8.64147E+11,9.30665E+11,9.95683E+11,9.55958E+11,1.03194E+12,1.11814E+12,1.18375E+12
Afghanistan,AFG,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3855298264,4330114358,4996781464,6145219407,6962158645,8668787530,9768577941,12642365227,14864149924,16062706809,19575474864,21060159749,21036150318,20114103581,19449602245,19032212584,19092091282,19698775580,19236860322,15387504468,14891705444,
Africa Western and Central,AFW,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83605E+11,5.20608E+11,5.55825E+11,5.8472E+11,6.65983E+11,7.46864E+11,8.35858E+11,8.22392E+11,7.49323E+11,6.90021E+11,7.20337E+11,7.7146E+11,7.90746E+11,8.36213E+11,8.75301E+11,8.55785E+11
Angola,AGO,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9900000000,3392038322,5138513438,4956355629,6335678595,6046516459,5280590474,5902927855,6690072760,10317790755,12827056103,19001072908,26682881049,36533903480,51493392701,65661156904,71274868322,75541595073,82604385198,1.04805E+11,1.23089E+11,1.30422E+11,1.10414E+11,74246107929,63162391767,61533787791,68335787525,56331404564,56607120857,66533165322,78319283383
Albania,ALB,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,2114290463,2250946642,2308259450,2445669341,2144674610,1340594875,906184212.3,1024263065,1216680600,2035219960,2823912223,2532885529,2700757967,2956593292,3406993379,3906029741,4175916870,5006223195,6361564926,7887616711,9130490635,10274253836,11892990139,12529413394,12709390046,12803937514,12658293562,13156891248,13115548997,12635760849,12420735754,12329821974,13932831359,14933195208,14946210782,17145585256,18815089738,20773695503
Andorra,AND,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552049471,3284835773,3504812095,3997842573,
Arab World,ARB,"GNI, Atlas method (current US$)",,,,,,,33754416305,38057826706,43065033933,48401806616,60579518526,74208921286,1.11615E+11,1.56859E+11,2.21462E+11,2.46546E+11,2.77965E+11,3.61647E+11,4.58452E+11,5.12019E+11,4.90638E+11,4.45587E+11,4.45178E+11,4.45125E+11,4.65614E+11,4.81709E+11,5.02676E+11,5.09506E+11,5.89995E+11,4.83598E+11,5.01479E+11,4.95791E+11,5.08653E+11,5.30885E+11,5.62955E+11,6.01342E+11,6.12031E+11,6.22592E+11,6.93615E+11,7.37816E+11,7.38538E+11,8.04373E+11,9.567E+11,1.12173E+12,1.32862E+12,1.56221E+12,1.87356E+12,1.94285E+12,2.09126E+12,2.25162E+12,2.62203E+12,2.84993E+12,2.93139E+12,2.81137E+12,2.68519E+12,2.55649E+12,2.71586E+12,2.87115E+12,2.69226E+12,2.92384E+12,3.30964E+12,3.469E+12
United Arab Emirates,ARE,"GNI, Atlas method (current US$)",,,,,,,,,,,1987689763,2880658618,5825654749,11034541790,18673543961,24051016259,25925065453,36178105862,47680171642,52595929597,48880657334,43503308136,44135011018,42473057127,35039898628,39263304906,40393320289,45436842777,55495216418,54417098146,57494227395,58111255411,62096213379,68760750300,73557830181,81214339388,80926293898,79671865462,98424973048,1.05599E+11,1.07623E+11,1.21688E+11,1.47126E+11,1.72049E+11,2.08707E+11,2.44207E+11,2.82949E+11,2.77083E+11,2.88833E+11,3.18235E+11,3.62265E+11,4.013E+11,4.19037E+11,4.12574E+11,3.99843E+11,3.8172E+11,4.05354E+11,4.25707E+11,3.86387E+11,4.08245E+11,4.64105E+11,5.07149E+11
Argentina,ARG,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,3.0981E+11,1.58674E+11,93904509174,1.03251E+11,1.0965E+11,1.2302E+11,93958915902,1.04086E+11,1.27805E+11,2.03568E+11,2.41811E+11,2.62185E+11,2.56347E+11,2.72663E+11,2.90495E+11,2.89537E+11,2.76295E+11,2.75544E+11,2.60812E+11,1.52402E+11,1.39193E+11,1.29809E+11,1.65719E+11,2.15445E+11,2.58429E+11,3.07364E+11,3.15586E+11,3.78241E+11,4.42036E+11,4.96045E+11,5.43284E+11,5.26785E+11,5.4328E+11,5.32504E+11,5.78798E+11,5.53193E+11,5.04056E+11,4.08629E+11,4.57385E+11,5.35914E+11,5.8411E+11
