Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.95600677,24.84210526,24.31436907,27.08487085,20.6501297,23.7146427,19.18930861,12.20715893,14.64646238,17.24833362,-1.652954196,13.10423217,2.917363693,15.34510614,11.17491343,4.648618754,-1.240147758,5.750847588,6.98215053,10.71005339,14.98839958,15.52923708,14.31095118,12.33873062,16.72200639,4.655720192,13.46126182,20.88971941,
Africa Eastern and Southern,AFE,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.28322076,15.89602808,16.31328919,19.28217528,18.50406481,,,,,,,,20.66876003,20.79487631,22.48814196,23.09713534,23.99036582,23.82005518,22.35357392,18.4691424,20.87992515,21.17127186,18.2804231,17.72979575,17.86920618,16.66557535,17.47078282,17.58792912,17.44086212,18.74800906,18.76115874,21.00145497,20.28592683,
Afghanistan,AFG,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.737769441,,,
Africa Western and Central,AFW,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.87681625,26.05546133,33.53600551,41.18765335,43.45458359,41.49897023,38.65885864,27.65787363,36.9873386,37.88854984,37.23299841,31.9785712,29.85796511,24.81755493,24.01749017,23.09966944,25.09992382,32.10299532,28.06598155,38.29084767,36.60326973,30.17871709
Albania,ALB,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,27.81122631,28.41000044,28.24256658,26.06075559,23.7252669,26.82826807,18.77775792,-10.95198896,-11.99358089,11.20820812,3.109843221,16.35751101,16.13250852,5.572394393,17.33743597,14.89957935,25.89134918,28.92521879,25.51671658,26.25826888,29.38483682,30.10649462,29.0689429,23.95429313,17.73092403,17.33589683,19.96761667,20.54545899,19.62510087,17.741292,15.92938749,16.86397944,17.04907325,16.52937175,16.54715996,14.39660845,13.4131245,17.15063089,18.42036968,17.75911608
Andorra,AND,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.03792411,-3.128412755,,,,,,,,,,,,,,41.6863907,43.21949864,42.77877901,45.36259621,32.29122021,37.37074434,41.33065215,39.94220898,37.71406696,33.7283356,24.58036856,24.18885909,28.05177792,31.37147776,29.54598189,22.76299096,28.46677507,,
United Arab Emirates,ARE,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross savings (% of GDP),,,,,,,,,,,,,,,,,34.01352953,32.45311539,30.06233138,25.13378903,22.9585453,19.90821935,18.31827022,18.53685268,17.62150407,17.68614515,14.78338558,15.19776447,17.60908321,13.63018239,16.04337523,13.56185603,13.65164279,16.25052791,15.64836245,16.51163227,17.13007736,16.66428243,16.12973433,13.66191638,14.3684377,14.21407282,21.34317688,21.73453301,13.78283487,13.70860973,21.41722954,22.23144417,21.1268024,18.3213663,17.33185579,17.33321655,16.20994513,15.19446637,15.90902761,14.3058273,14.62225497,13.06884858,11.39391541,13.69079544,15.01213532,19.54182083,17.4911319,15.12142697
Armenia,ARM,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.43940818,2.568829778,-2.129917753,1.787588834,3.914112607,0.756174308,2.83405555,-0.92701688,5.411983631,10.24540583,16.34181182,19.7148351,24.30731792,28.54483303,28.60069263,27.90492035,14.04755666,13.20076305,11.09572276,14.09673279,14.83671978,13.28125722,18.45377743,17.87496536,17.17845791,15.55357577,10.22162316,15.70672187,19.60923874,20.06652643,19.17896607
American Samoa,ASM,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross savings (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
